Mail Subject,Mail Body,Problem Class
Re: Login Issue,"Hello, I forgot my login details, Please help me, I have a exam tomorrow, Thanks. Regards Pranav",2
Login forgot ,"Hello , please send me a link to reset my password. Thanks Hamza",2
Reset Login details,"Hello, We need to reset the login details of our club, edict@ashoka.edu.in",2
Clicker req,"Hello, I need another clicker in LR 010 in the new acedmic block, there are two speakers. Regards Shiv",3
Clicker Batteries,"Hello, The clicker provided in media room is out of battery. Please change, Regards, Anuka",3
Clicker malf,"Hello, The clicker in LR 011 is not responding to back function. Please provide another asap. Regards , Shravi",3
New Clicker need,"Hello, This is the Media departement and we need 5 new clickers in our media room. Please provide, we have cc'ed OSL for the approval. ",3
Battery Drain,"Hey , the batteries in the clicker in LR 003 are dead and please fix them, get a new clicker also, I think the one here doesn't conect for a long time. ",3
Crestron Issue,"Hello, The crestron Wifi Mode is not working, Please fix , Regards Shirish",4
Connector Malfunction,"Hello, The equipment to connect projector to the laptop is not working properly, please help. Regards Shravia",4
New HDMI Cable needed,"Hi IT , the admin is conducting a workshop and they need a new HDMI cable in LR 006 , Help Chandan",4
Projector Overheating ,"Hello , The projector which is connected in LR 001 is overheating when working on it for a short while also, Please check. Regards Diivij",4
New Sound woofer,"Hello, I was told that there is a new sound system in the Auditorium, it is not able to echo sounds of the mic, Please check. Regards Shivangi ",4
New ID issue,"Hello, I lost my ID card and got a new one, but it is not activated yet, what should I do ? Regards , Dibyendu",5
ID Card Not found,"Not able find my ID card in the Vending list, can you please refresh the system ? Regards Aditya",5
New transactions list,"Hello, Please send me my card transaction list for the week. I need to confirm the transactions. Regards Gupta",5
ID card Not found,"Hello, The ID card cannot be found on the recpetion desk interface to be activated, Please help and sort it. Thanks Aditya P ",5
Wifi Outage,"Dear Sir/Ma'am, Can you please specify till when will the wifi be disfunctional? Warm Regards, Samarth",1
Wifi not Working,"Dear IT team, The wifi has not been working on the 4th floor of SH2 since morning. It is my sincere request if you could fix the issue. Best, Ashna",1
Wifi connectivity error in Motorola Phones,"Dear Sir/Ma'am, The wifi is not connecting to my phone. I have a Moto G3. Kindly let me know how can I connet my phone to WiFi. Thank you. Warm Regards, Krathika",1
Cannot connect Moto G4 to Wifi,"Dear IT team, The wifi has not been working on my motorola G4 phone. Other students who have motorola phones also are facing a similar problem. It is my sincere request if you could resolve the issue at the earliest. Best, Vinayak.",1
Clicker needed,"Hey, Professor Jhanwar requires a clicker in class LR010 at 4:30pm today. Thank you. Best Regards, Akshay",3
Speakers not working in LR005,"Hi, The speakers in LR110 are malfunctioning. The professor is facing difficulty in speaking without the mic. Can you please send someone urgently to solve the issue? Best, Sanchit",4
Projector not displaying PPT,"Dear Sir, The projector is not displaying the ppt in the classroom. Please send someone to Tr006 to resolve the problem. Thank you. Warm Regards, Vinayak ",4
Clicker not connecting with laptop,"Hey, The clicker we have in class (LR 201) is not syncing with the laptop. The professor has a Macbook Air. Kindly check if we need a different clicker model. Regards, Sharad. ",3
Clicker batteries required,"Dear IT, It appears that the clicker we are using is out of batteries. There is no signal response to any button we press. Kindly send someone to LR 002 to replace the batteries. Thank you. Regards, Johanne",3
Clicker required for Seminar,"Dear IT, The history society is conducting a seminar in the auditorium today. We shall be needing two clickers for the same. Please arrange for two clickers in the Auditorium by tomorrow. Thank you. Best, History Society.",3
Unable to login to Wifi network,"Hey, I am unable to login to Wifi due to password error. However, I have not changed my password. Kindly look into the problem. Warm Regards, Varsha.",2
Cannot login to wifi on laptop,"Hi, My wifi login limit has reached due to which I am not able to login on my laptop. Can you please reset the devices I have logged into from my id? Thank you. Regards, Ayushree.",2
Wifi login password,"Hello, I wanted to change the password for my wifi login. Kindly let me know how to go about it. Thanks. Ajay",2
Change password,"Dear IT team, I am unable access the wifi due to some password change. However, I have not made this change. Please help me out. Best, Prerna",2
Maximum login limit,"Dear Sir/Ma'am, I have reached the maximum login limit on my wifi id. Kindly help me regain access. Thanks. Aakash",2
Collar microphones required,"Dear IT, Proffesor Kelly wants a collar micrphone for class. Please provide the needful. Thanks, Jeeva.",4
Block ID card,"Dear Sir, My ID card has been blocked. Can you please check what the reason is so that I can purchase food coupons? Warm Regards, Kamchan",5
ID card not working,"Dear IT team, I have not been able to purchase food coupons using my ID card. KIndly let me know what the issue is. Best, Ujjawal.",5
ID cards,"Dear IT, Can students use their ID cards to mark attendance for classes in ID card reader? With regards, Shourya",5
Extend deadline to get ID cards,"Dear Sir/Ma'am, I am out for this weekend due to family committments. Is there any possibility of extending the deadline to get ID cards by one day? Regards, Shweta",5
Upload photograph on LMS,"Dear IT, Do we have to upload a passport siz photograph or any size would work on the LMS? Thanks. Best, Shambhavi",5
